YEAR,CANDIDATE,PARTY,COALITION_NAME,VOTES,PERCENTAGE,TURNOUT,VALIDATES
2006,Felipe Calderón Hinojosa,PAN,Candidatura PAN,"14,916,927",36.96073077,58.22,"40,358,853"
2006,Andrés Manuel López Obrador,PRD-PT-CONVERGENCIA,Por el Bien de Todos,"14,683,096",36.38135108,58.22,"40,358,853"
2006,Roberto Madrazo Pintado,PRI-PVEM,Alianza por México,"9,237,000",22.88717174,58.22,"40,358,853"
2006,Patricia Mercado Castro,ASDC,Candidatura ASDC,"1,124,280",2.785708504,58.22,"40,358,853"
2006,Roberto Campa Cifrián,PANAL,Candidatura PANAL,"397,550",0.985037905,58.22,"40,358,853"
