YEAR,PARTY,VOTES,PERCENTAGE,SEATS,TURNOUT,VALID_VOTES
2006,PAN,NA,NA,206,58,40269535
2006,PRI,NA,NA,104,58,40269535
2006,PRD,NA,NA,126,58,40269535
2006,PVEM,NA,NA,19,58,40269535
2006,PT,NA,NA,16,58,40269535
2006,MC,NA,NA,16,58,40269535
2006,PANAL,NA,NA,9,58,40269535
2006,ASDC,NA,NA,4,58,40269535
