YEAR,PARTY,VOTES,PERCENTAGE,SEATS,TURNOUT,VALID_VOTES
2018,PAN,10093012,18.88,81,62.58,53470764
2018,PRI,9307233,17.41,45,62.58,53470764
2018,PRD,2967452,5.55,21,62.58,53470764
2018,PVEM,2694654,5.04,16,62.58,53470764
2018,PT,2210988,4.13,61,62.58,53470764
2018,MC,2484185,4.65,27,62.58,53470764
2018,PANAL,1390882,2.6,2,62.58,53470764
2018,MORENA,20968859,39.22,191,62.58,53470764
2018,PES,1353499,2.52,56,62.58,53470764
