YEAR,PARTY,VOTES,PERCENTAGE,SEATS,TURNOUT,VALID_VOTES
2012,PAN,12960875,27.28,114,63,47506907
2012,PRI,15960086,33.6,213,63,47506907
2012,PRD,9194637,19.35,103,63,47506907
2012,PVEM,3054718,6.43,28,63,47506907
2012,PT,2294459,4.83,15,63,47506907
2012,MC,2000524,4.21,17,63,47506907
2012,PANAL,2041608,4.3,10,63,47506907
