YEAR,CANDIDATE,PARTY,COALITION_NAME,VOTES,PERCENTAGE,TURNOUT,VALIDATES
2012,Enrique Peña Nieto,PRI-PVEM,Compromiso por México,"19,158,592",39.19023746,63.07,"48,886,134"
2012,Andrés Manuel López Obrador,PRD-PT-MC,Movimiento Progresista,"15,848,827",32.41988209,63.07,"48,886,134"
2012,Josefina Vázquez Mota,PAN,Candidatura PAN,"12,732,630",26.04548357,63.07,"48,886,134"
2012,Gabriel Quadri,PANAL,Candidatura PANAL,"1,146,085",2.344396879,63.07,"48,886,134"
